NUTS0_CODE,NUTS0_NAME,NUTS2_CODE,NUTS2_NAME,NUTS_LEVEL,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,PRC_UAA_AV,NUTS_AREA,PRC_NUTS_AV
EL,Greece,EL22,Ionia Nisia (NUTS 2010),NUTS2,R2000,,,,,,
EL,Greece,EL23,Dytiki Ellada (NUTS 2010),NUTS2,R2000,,,,,,
EL,Greece,EL24,Sterea Ellada (NUTS 2010),NUTS2,R2000,,,,,,
EL,Greece,EL25,Peloponnisos (NUTS 2010),NUTS2,R2000,,,,,,
EL,Greece,EL3,Attiki,NUTS1,R2000,0,0,81.57,0,381.4,0
EL,Greece,EL30,Attiki,NUTS2,R2000,0,0,81.57,0,381.4,0
EL,Greece,EL4,"Nisia Aigaiou, Kriti",NUTS1,R2000,0,0,1029.92,0,1749.9,0
EL,Greece,EL41,Voreio Aigaio,NUTS2,R2000,0,0,188.56,0,385.4,0
EL,Greece,EL41_42,Nisia Aigaiou,NUTS1,R2000,,,,,,
EL,Greece,EL42,Notio Aigaio,NUTS2,R2000,0,0,139.13,0,530.5,0
EL,Greece,EL43,Kriti,NUTS2,R2000,0,0,702.23,0,834,0
EL,Greece,EL5,Voreia Ellada,NUTS1,R2000,1.72,93.27,1876.77,0.094,5198,0.032
EL,Greece,EL51,"Anatoliki Makedonia, Thraki",NUTS2,R2000,0.51,27.18,495.35,0.1,1417.9,0.034
EL,Greece,EL52,Kentriki Makedonia,NUTS2,R2000,1.01,56.63,762.61,0.132,1916.6,0.054
EL,Greece,EL53,Dytiki Makedonia,NUTS2,R2000,0.19,9.32,303.63,0.06,947.1,0.018
EL,Greece,EL54,Ipeiros,NUTS2,R2000,0.01,0,315.18,0.002,916.4,0
EL,Greece,EL54,Ipeiros,NUTS2,R2000,0.01,0.14,315.18,0.002,916.4,0
EL,Greece,EL6,Kentriki Ellada,NUTS1,R2000,0.64,35.79,2211.43,0.03,5875.6,0.012
EL,Greece,EL61,Thessalia,NUTS2,R2000,0.55,34.73,655.53,0.084,1405.1,0.04
EL,Greece,EL62,Ionia Nisia,NUTS2,R2000,0,0,93.17,0,230.6,0
EL,Greece,EL63,Dytiki Ellada,NUTS2,R2000,0,0,455.56,0,1132.7,0
EL,Greece,EL64,Sterea Ellada,NUTS2,R2000,0.09,1.06,519.71,0.018,1556.1,0.006
EL,Greece,EL65,Peloponnisos,NUTS2,R2000,0,0,487.45,0,1551.1,0
ES,Spain,ES,Spain,NUTS0,R2000,31.85,2771.1,24253.86,0.13,50594.4,0.062
ES,Spain,ES1,Noroeste (ES),NUTS1,R2000,0,0,1628.1,0,4550.5,0
ES,Spain,ES11,Galicia,NUTS2,R2000,0,0,936.6,0,2957.5,0
ES,Spain,ES12,Principado de Asturias,NUTS2,R2000,0,0,431.53,0,1060.3,0
ES,Spain,ES13,Cantabria,NUTS2,R2000,0,0,259.97,0,532.7,0
ES,Spain,ES2,Noreste (ES),NUTS1,R2000,2.62,244.12,3205.56,0.084,7038.3,0.038
ES,Spain,ES21,País Vasco,NUTS2,R2000,1.35,129.82,201.35,0.672,722.8,0.188
ES,Spain,ES22,Comunidad Foral de Navarra,NUTS2,R2000,0.32,26.45,424.96,0.076,1039,0.032
ES,Spain,ES23,La Rioja,NUTS2,R2000,0.95,87.76,236.48,0.4,504.5,0.188
ES,Spain,ES24,Aragón,NUTS2,R2000,0,0,2342.76,0,4772,0
ES,Spain,ES24,Aragón,NUTS2,R2000,0,0.1,2342.76,0,4772,0
ES,Spain,ES3,Comunidad de Madrid,NUTS1,R2000,0,0,341.63,0,802.8,0
ES,Spain,ES30,Comunidad de Madrid,NUTS2,R2000,0,0,341.63,0,802.8,0
ES,Spain,ES4,Centro (ES),NUTS1,R2000,21.59,1931.54,11771.14,0.184,21530,0.1
ES,Spain,ES41,Castilla y León,NUTS2,R2000,21.58,1930.78,5161.37,0.418,9422.7,0.228
ES,Spain,ES42,Castilla-la Mancha,NUTS2,R2000,0.01,0,3999.06,0,7946.2,0
ES,Spain,ES42,Castilla-la Mancha,NUTS2,R2000,0.01,0.76,3999.06,0,7946.2,0
ES,Spain,ES43,Extremadura,NUTS2,R2000,0,0,2610.71,0,4161.1,0
ES,Spain,ES5,Este (ES),NUTS1,R2000,0,0,1975.75,0,6033.9,0
ES,Spain,ES51,Cataluña,NUTS2,R2000,0,0,1064.22,0,3209,0
ES,Spain,ES52,Comunitat Valenciana,NUTS2,R2000,0,0,694.46,0,2325.7,0
ES,Spain,ES53,Illes Balears,NUTS2,R2000,0,0,217.07,0,499.2,0
ES,Spain,ES6,Sur (ES),NUTS1,R2000,7.64,595.43,5220.41,0.146,9894.4,0.078
ES,Spain,ES61,Andalucía,NUTS2,R2000,7.64,595.43,4812.2,0.16,8759.7,0.088
ES,Spain,ES62,Región de Murcia,NUTS2,R2000,0,0,408.21,0,1131.4,0
ES,Spain,ES63,Ciudad de Ceuta,NUTS2,R2000,0,0,0,,2,0
ES,Spain,ES64,Ciudad de Melilla,NUTS2,R2000,0,0,0,,1.3,0
ES,Spain,ES7,Canarias,NUTS1,R2000,0,0,111.27,0,744.5,0
ES,Spain,ES70,Canarias,NUTS2,R2000,0,0,111.27,0,744.5,0
FI,Finland,FI,Finland,NUTS0,R2000,10.89,422.31,2271.18,0.478,33844,0.03
FI,Finland,FI1,Manner-Suomi,NUTS1,R2000,10.89,422.31,2254.78,0.482,33685.9,0.032
FI,Finland,FI13,Itä-Suomi (NUTS 2006),NUTS2,R2000,,,,,,
FI,Finland,FI18,Etelä-Suomi (NUTS 2006),NUTS2,R2000,,,,,,
FI,Finland,FI19,Länsi-Suomi,NUTS2,R2000,4.5,172.94,787.74,0.572,6476.3,0.068
FI,Finland,FI1A,Pohjois-Suomi (NUTS 2006),NUTS2,R2000,,,,,,
FI,Finland,FI1B,Helsinki-Uusimaa,NUTS2,R2000,0.25,10.19,181.22,0.14,956.8,0.026
FI,Finland,FI1C,Etelä-Suomi,NUTS2,R2000,5.98,232.86,614.26,0.974,3537.8,0.17
FI,Finland,FI1D,Pohjois- ja Itä-Suomi,NUTS2,R2000,0.15,5.26,671.58,0.02,22715,0
FI,Finland,FI2,Åland,NUTS1,R2000,0,0,16.44,0,158.1,0
FI,Finland,FI20,Åland,NUTS2,R2000,0,0,16.44,0,158.1,0
FR,France,FR,France,NUTS0,R2000,448.26,36959.88,29010.89,"1,585",63318.66,0.708
FR,France,FR1,Île de France,NUTS1,R2000,45.85,3361.74,585.91,"8,045",1201.23,"3,816"
FR,France,FR10,Île de France,NUTS2,R2000,45.85,3361.74,585.91,"8,045",1201.23,"3,816"
