NUTS0_CODE,NUTS0_NAME,NUTS2_CODE,NUTS2_NAME,NUTS_LEVEL,CROP_CODE,AREA_AV,PROD_AV,UAA_AV,PCR_UAA_AV,NUTS_AREA,PCR_NUTS_AV
EL,Greece,EL63,Dytiki Ellada,NUTS2,F2000,0.61,7.7,21.3,2.868,1132.7,0.053976
EL,Greece,EL64,Sterea Ellada,NUTS2,F2000,2.23,28.12,77.83,2.868,1556.1,0.14353
EL,Greece,EL65,Peloponnisos,NUTS2,F2000,2.15,27.02,74.78,2.868,1551.1,0.13836
ES,Spain,ES,Spain,NUTS0,F2000,73.97,1184.53,24253.86,2.346,50594.4,0.128886
ES,Spain,ES11,Galicia,NUTS2,F2000,0.31,1.37,7.07,4.39,2957.5,0.0105
ES,Spain,ES12,Principado de Asturias,NUTS2,F2000,0.17,0.74,3.86,4.39,1060.3,0.015978
ES,Spain,ES13,Cantabria,NUTS2,F2000,0.01,0.06,0.32,4.39,532.7,0.002648
ES,Spain,ES21,País Vasco,NUTS2,F2000,0.07,0.31,1.61,4.39,722.8,0.009766
ES,Spain,ES22,Comunidad Foral de Navarra,NUTS2,F2000,0,0,0,,1039,0
ES,Spain,ES23,La Rioja,NUTS2,F2000,0,0,0,,504.5,0
ES,Spain,ES24,Aragón,NUTS2,F2000,0.16,0.68,3.54,4.39,4772,0.003256
ES,Spain,ES30,Comunidad de Madrid,NUTS2,F2000,0.01,0.06,0.32,4.39,802.8,0.001758
ES,Spain,ES41,Castilla y León,NUTS2,F2000,0.27,1.18,6.11,4.39,9422.7,0.002848
ES,Spain,ES42,Castilla-la Mancha,NUTS2,F2000,0.93,4.1,21.21,4.39,7946.2,0.011724
ES,Spain,ES43,Extremadura,NUTS2,F2000,3.57,15.71,81.31,4.39,4161.1,0.085838
ES,Spain,ES51,Cataluña,NUTS2,F2000,0.44,1.92,9.96,4.39,3209,0.013638
ES,Spain,ES52,Comunitat Valenciana,NUTS2,F2000,17.55,77.16,399.46,4.39,2325.7,0.754542
ES,Spain,ES53,Illes Balears,NUTS2,F2000,0.69,3.04,15.75,4.39,499.2,0.138574
ES,Spain,ES61,Andalucía,NUTS2,F2000,15.95,70.15,363.15,4.39,8759.7,0.182116
ES,Spain,ES62,Región de Murcia,NUTS2,F2000,0.38,1.68,8.68,4.39,1131.4,0.033692
ES,Spain,ES63,Ciudad de Ceuta,NUTS2,F2000,0,0,0,,2,0
ES,Spain,ES64,Ciudad de Melilla,NUTS2,F2000,0,0,0,,1.3,0
ES,Spain,ES70,Canarias,NUTS2,F2000,15.05,66.17,342.58,4.39,744.5,2.021424
FI,Finland,FI,Finland,NUTS0,F2000,0,0,2271.18,0,33844,0
FI,Finland,FI19,Länsi-Suomi,NUTS2,F2000,0,0,0,,6476.3,0
FI,Finland,FI1B,Helsinki-Uusimaa,NUTS2,F2000,0,0,0,,956.8,0
FI,Finland,FI1C,Etelä-Suomi,NUTS2,F2000,0,0,0,,3537.8,0
FI,Finland,FI1D,Pohjois- ja Itä-Suomi,NUTS2,F2000,0,0,0,,22715,0
